NAME,LINE,line_correct,name_short,name_subtitle
Arlington Cemetery,blue,,,
Eastern Market,"blue, orange, silver",,,
Potomac Ave,"blue, orange, silver",,,
Stadium-Armory,"blue, orange, silver",,,
Downtown Largo,"blue, orange, silver","blue, silver",,
Rosslyn,"blue, orange, silver",,,
McPherson Sq,"blue, orange, silver",,,
Capitol Heights,"blue, orange, silver","blue, silver",,
Morgan Boulevard,"blue, orange, silver","blue, silver",,
Benning Road,"blue, orange, silver","blue, silver",,
Addison Road-Seat Pleasant,"blue, orange, silver","blue, silver",Addison Rd,Seat Pleasant
Foggy Bottom-GWU,"blue, orange, silver",,Foggy Bottom-GWU,Kennedy Center
Farragut West,"blue, orange, silver",,,
Smithsonian,"blue, orange, silver",,Smithsonian,National Mall
Federal Center SW,"blue, orange, silver",,,
Capitol South,"blue, orange, silver",,,
Federal Triangle,"blue, orange, silver",,,
Braddock Road,"blue, yellow",,,
King St-Old Town,"blue, yellow",,,
Pentagon,"blue, yellow",,,
Crystal City,"blue, yellow",,,
Ronald Reagan Washington National Airport,"blue, yellow",,,
Van Dorn Street,"blue, yellow",blue,,
Franconia-Springfield,"blue, yellow",blue,,
Pentagon City,"blue, yellow",,,
Potomac Yard,"blue, yellow",,,
Branch Ave,green,,,
Anacostia,green,,,
Navy Yard-Ballpark,green,,,
Southern Avenue,green,,,
Waterfront,green,,,
Congress Heights,green,,,
Naylor Road,green,,,
Suitland,green,,,
Columbia Heights,"green, yellow",green,,
Shaw-Howard U,"green, yellow",green,,
Greenbelt,"green, yellow",green,,
College Park-U of Md,"green, yellow",green,,
Georgia Ave-Petworth,"green, yellow",green,,
Hyattsville Crossing,"green, yellow",green,,
West Hyattsville,"green, yellow",green,,
Archives-Navy Memorial-Penn Quarter,"green, yellow",,Archives,Navy Memorial-Penn Quarter
Mt Vernon Sq 7th St-Convention Center,"green, yellow",,Mt Vernon Sq,7th St-Convention Center
U Street/African-Amer Civil War Memorial/Cardozo,"green, yellow",green,U Street,African-Amer Civil War Memorial/Cardozo
L'Enfant Plaza,"grn, yllw, orange, blue, slvr","green, yellow, orange, blue, silver",,
Minnesota Ave,orange,,,
New Carrollton,orange,,,
Landover,orange,,,
Cheverly,orange,,,
West Falls Church,orange,,,
Deanwood,orange,,,
Dunn Loring-Merrifield,orange,,Dunn Loring,Merrifield
Vienna/Fairfax-GMU,orange,,Vienna,Fairfax-GMU
Court House,"orange, silver",,,
Clarendon,"orange, silver",,,
East Falls Church,"orange, silver",,,
Virginia Square-GMU,"orange, silver",,,
Ballston-MU,"orange, silver",,,
Rhode Island Ave-Brentwood,red,,Rhode Island Ave,Brentwood
Van Ness-UDC,red,,,
Cleveland Park,red,,,
NoMa-Gallaudet U,red,,,
Dupont Circle,red,,,
Tenleytown-AU,red,,,
Takoma,red,,,
Glenmont,red,,,
Wheaton,red,,,
Forest Glen,red,,,
Silver Spring,red,,,
Brookland-CUA,red,,,
Shady Grove,red,,,
Rockville,red,,,
Twinbrook,red,,,
North Bethesda,red,,,
Grosvenor-Strathmore,red,,,
Medical Center,red,,,
Bethesda,red,,,
Farragut North,red,,,
Woodley Park-Zoo/Adams Morgan,red,,Woodley Park,Zoo/Adams Morgan
Judiciary Square,red,,,
Union Station,red,,,
Friendship Heights,red,,,
Metro Center,"red, blue, orange, silver",,,
Gallery Pl-Chinatown,"red, green, yellow",,Gallery Place,Chinatown
Fort Totten,"red, green,yellow","red, green",,
Spring Hill,silver,,,
Greensboro,silver,,,
Tysons,silver,,,
McLean,silver,,,
Wiehle-Reston East,silver,,,
Reston Town Center,silver,,,
Herndon,silver,,,
Innovation Center,silver,,,
Washington Dulles International Airport,silver,,,
Loudoun Gateway,silver,,,
Ashburn,silver,,,
Eisenhower Ave,yellow,,,
Huntington,yellow,,,
