"name_short","name_subtitle","name","state","address","mar_id","objectid","latitude","longitude","line_symbol","line_names","line_display","lines_total"
"Branch Ave","","Branch Ave","MD","4704 OLD SOPER ROAD, SUITLAND, MD",,641,38.8264541240316,-76.9114664634741,"GR","Green","<div class=""metro-circle-diplay metro-green"">GR</div>",1
"Braddock Road","","Braddock Road","VA","700 N. WEST ST., ALEXANDRIA, VA",,642,38.8141514352384,-77.0536698633194,"BL, YL","Blue, Yellow","<div class=""metro-circle-diplay metro-blue"">BL</div> <div class=""metro-circle-diplay metro-yellow"">YL</div>",2
"King St-Old Town","","King St-Old Town","VA","1900 KING STREET, ALEXANDRIA, VA",,643,38.8065938834049,-77.0608134995665,"BL, YL","Blue, Yellow","<div class=""metro-circle-diplay metro-blue"">BL</div> <div class=""metro-circle-diplay metro-yellow"">YL</div>",2
"Eisenhower Ave","","Eisenhower Ave","VA","2400 EISENHOWER AVENUE, ALEXANDRIA, VA",,644,38.8004332142391,-77.0708766830918,"YL","Yellow","<div class=""metro-circle-diplay metro-yellow"">YL</div>",1
"Huntington","","Huntington","VA","2701 HUNTINGTON AVENUE, ALEXANDRIA, VA",,645,38.7939236159681,-77.0752080838784,"YL","Yellow","<div class=""metro-circle-diplay metro-yellow"">YL</div>",1
"Anacostia","","Anacostia","DC","1101 HOWARD ROAD SE, WASHINGTON, DC",294866,646,38.8629708967766,-76.9953730128321,"GR","Green","<div class=""metro-circle-diplay metro-green"">GR</div>",1
"Eastern Market","","Eastern Market","DC","725 PENNSYLVANIA AVENUE SE, WASHINGTON, DC",316432,647,38.8846300451652,-76.9960034023081,"OR, SV, BL","Orange, Silver, Blue","<div class=""metro-circle-diplay metro-orange"">OR</div> <div class=""metro-circle-diplay metro-silver"">SV</div> <div class=""metro-circle-diplay metro-blue"">BL</div>",3
"Potomac Ave","","Potomac Ave","DC","1400 POTOMAC AVENUE SE, WASHINGTON, DC",316349,648,38.8812710576686,-76.9854975917707,"OR, SV, BL","Orange, Silver, Blue","<div class=""metro-circle-diplay metro-orange"">OR</div> <div class=""metro-circle-diplay metro-silver"">SV</div> <div class=""metro-circle-diplay metro-blue"">BL</div>",3
"Stadium-Armory","","Stadium-Armory","DC","290 19TH STREET SE, WASHINGTON, DC",316351,649,38.8867168752895,-76.9770911712712,"OR, SV, BL","Orange, Silver, Blue","<div class=""metro-circle-diplay metro-orange"">OR</div> <div class=""metro-circle-diplay metro-silver"">SV</div> <div class=""metro-circle-diplay metro-blue"">BL</div>",3
"Rhode Island Ave","Brentwood","Rhode Island Ave-Brentwood","DC","801 RHODE ISLAND AVENUE NE, WASHINGTON, DC",316413,650,38.9210674808595,-76.9959391944564,"RD","Red","<div class=""metro-circle-diplay metro-red"">RD</div>",1
"Minnesota Ave","","Minnesota Ave","DC","4120 MINNESOTA AVENUE NE, WASHINGTON, DC",316352,651,38.8991990121813,-76.9467499947779,"OR","Orange","<div class=""metro-circle-diplay metro-orange"">OR</div>",1
"Van Ness-UDC","","Van Ness-UDC","DC","4230 CONNECTICUT AVENUE NW, WASHINGTON, DC",316424,652,38.9432730819699,-77.0629884805507,"RD","Red","<div class=""metro-circle-diplay metro-red"">RD</div>",1
"Cleveland Park","","Cleveland Park","DC","3514 CONNECTICUT AVENUE NW, WASHINGTON, DC",277555,653,38.9347706829249,-77.0580448171052,"RD","Red","<div class=""metro-circle-diplay metro-red"">RD</div>",1
"Columbia Heights","","Columbia Heights","DC","3030 14TH STREET NW, WASHINGTON, DC",294815,654,38.9278457591984,-77.0325544073219,"GR","Green","<div class=""metro-circle-diplay metro-green"">GR</div>",1
"Spring Hill","","Spring Hill","VA","1576 SPRING HILL ROAD VIENNA, VA 22182",,655,38.9289596276567,-77.2415603517124,"SV","Silver","<div class=""metro-circle-diplay metro-silver"">SV</div>",1
"Greensboro","","Greensboro","VA","8305 LEESBURG PIKE VIENNA, VA 22182",,656,38.9209631790513,-77.233880199548,"SV","Silver","<div class=""metro-circle-diplay metro-silver"">SV</div>",1
"Tysons","","Tysons","VA","1943 CHAIN BRIDGE ROAD MCLEAN, VA 22102",,657,38.9206820540508,-77.2217180330483,"SV","Silver","<div class=""metro-circle-diplay metro-silver"">SV</div>",1
"McLean","","McLean","VA","1824 DOLLEY MADISON BOULIVARD MCLEAN, VA 22102",,658,38.9245295516699,-77.2100812932053,"SV","Silver","<div class=""metro-circle-diplay metro-silver"">SV</div>",1
"New Carrollton","","New Carrollton","MD","4700 GARDEN CITY DRIVE, NEW CARROLLTON, MD",,659,38.9477926575059,-76.8718435273078,"OR","Orange","<div class=""metro-circle-diplay metro-orange"">OR</div>",1
"Landover","","Landover","MD","3000 PENNSY DRIVE, HYATTSVILLE, MD",,660,38.9335140325296,-76.8912002135252,"OR","Orange","<div class=""metro-circle-diplay metro-orange"">OR</div>",1
"Cheverly","","Cheverly","MD","5501 COLUMBIA PARK, CHEVERLY, MD 
",,661,38.9166396483886,-76.9166302968683,"OR","Orange","<div class=""metro-circle-diplay metro-orange"">OR</div>",1
"Downtown Largo","","Downtown Largo","MD","9000 LOTTSFORD ROAD, LARGO, MD",,662,38.9006075165335,-76.8445538708846,"SV, BL","Silver, Blue","<div class=""metro-circle-diplay metro-silver"">SV</div> <div class=""metro-circle-diplay metro-blue"">BL</div>",2
"NoMa-Gallaudet U","","NoMa-Gallaudet U","DC","1301 2ND STREET NE, WASHINGTON, DC",316364,663,38.9070240007291,-77.0030227264183,"RD","Red","<div class=""metro-circle-diplay metro-red"">RD</div>",1
"Rosslyn","","Rosslyn","VA","1850 N. MOORE STREET, ARLINGTON, VA",,664,38.8959868801064,-77.0709109849919,"OR, SV, BL","Orange, Silver, Blue","<div class=""metro-circle-diplay metro-orange"">OR</div> <div class=""metro-circle-diplay metro-silver"">SV</div> <div class=""metro-circle-diplay metro-blue"">BL</div>",3
"Arlington Cemetery","","Arlington Cemetery","VA","1000 NORTH MEMORIAL DRIVE, ARLINGTON, VA",,665,38.8846946403712,-77.0628124255369,"BL","Blue","<div class=""metro-circle-diplay metro-blue"">BL</div>",1
"Dupont Circle","","Dupont Circle","DC","1525 20TH STREET NW, WASHINGTON, DC",,666,38.9096058451658,-77.0434166516056,"RD","Red","<div class=""metro-circle-diplay metro-red"">RD</div>",1
"Pentagon","","Pentagon","VA","2 SOUTH ROTARY ROAD, ARLINGTON, VA",,667,38.8694704803745,-77.0537179660692,"BL, YL","Blue, Yellow","<div class=""metro-circle-diplay metro-blue"">BL</div> <div class=""metro-circle-diplay metro-yellow"">YL</div>",2
"Crystal City","","Crystal City","VA","1750 SOUTH CLARK ST., ARLINGTON, VA",,668,38.8579120973493,-77.0502921005754,"BL, YL","Blue, Yellow","<div class=""metro-circle-diplay metro-blue"">BL</div> <div class=""metro-circle-diplay metro-yellow"">YL</div>",2
"Navy Yard-Ballpark","","Navy Yard-Ballpark","DC","1155 NEW JERSEY AVENUE SE, WASHINGTON, DC",310434,669,38.8764888672489,-77.0050879292944,"GR","Green","<div class=""metro-circle-diplay metro-green"">GR</div>",1
