"objectid","common_name","longitude","latitude"
1,"Cherry Spp.",-77.0085887897408,38.8834023242579
2,"Yoshino Cherry",-77.009487994875,38.8850147556265
3,"Snowgoose Cherry",-77.0091537168705,38.8847805640718
4,"Yoshino Cherry",-77.0091421327032,38.8843211373107
5,"Cherry Spp.",-77.0463503745701,38.907301652949
6,"Cherry Spp.",-77.0515220671896,38.9163438621795
7,"Yoshino Cherry",-76.9994490445378,38.8851682824903
8,"Cherry Spp.",-77.0575867425341,38.972786957752
9,"Chokecherry",-77.0689067096769,38.9720151352903
10,"Okame Cherry",-77.0648935686832,38.9750081653946
11,"Kwanzan Cherry",-77.0689891891997,38.9737716929093
12,"Snowgoose Cherry",-77.0708803096785,38.9723022195718
13,"Yoshino Cherry",-77.0597539305994,38.9700113324571
14,"Yoshino Cherry",-77.0738769451648,38.9686970677155
15,"Snowgoose Cherry",-77.0639407783442,38.9677840822696
16,"Cherry Spp.",-77.0747770109502,38.9686964957467
17,"Cherry Spp.",-77.0634144348282,38.972792950834
18,"Yoshino Cherry",-77.0700029949422,38.9720144841812
19,"Snowgoose Cherry",-77.0006476906384,38.8811325244465
20,"Okame Cherry",-77.0691374981969,38.9720059909837
21,"Kwanzan Cherry",-77.0612681245243,38.9729382273174
22,"Cherry Spp.",-77.0727367513999,38.9708507524603
23,"Yoshino Cherry",-77.0623042190644,38.9700730592244
24,"Chokecherry",-77.0630637945584,38.9677755495021
25,"Snowgoose Cherry",-77.0773125883053,38.9658662564226
26,"Cherry Spp.",-77.071709459424,38.9705901478171
27,"Yoshino Cherry",-77.072406730786,38.9640497302109
28,"Chokecherry",-77.0576732591136,38.9656163528125
29,"Yoshino Cherry",-77.075351946635,38.96677736948
30,"Snowgoose Cherry",-77.0682020296999,38.9712318311841
31,"Snowgoose Cherry",-77.0675428311367,38.9697188297602
32,"Yoshino Cherry",-77.0758874596385,38.9603721541516
33,"Snowgoose Cherry",-77.0803570155638,38.9642427184268
34,"Kwanzan Cherry",-77.0766204520722,38.9660468771617
35,"Yoshino Cherry",-77.0770857990703,38.9588850064379
36,"Cherry Spp.",-77.0803620023045,38.9584323875447
37,"Snowgoose Cherry",-77.0803573096421,38.964503957092
38,"Cherry Spp.",-77.0872325043765,38.9535810145522
39,"Snowgoose Cherry",-77.0723229436489,38.9610770571605
40,"Snowgoose Cherry",-77.0807007859125,38.9621345492701
41,"Kwanzan Cherry",-77.0792596277296,38.9631444600488
42,"Cherry Spp.",-77.0980076595258,38.9449875841097
43,"Kwanzan Cherry",-77.0712385761993,38.9497453196908
44,"Kwanzan Cherry",-77.0895543434581,38.9559124008367
45,"Kwanzan Cherry",-77.0824935466398,38.9559085877112
46,"Snowgoose Cherry",-77.0893342559711,38.9552099241987
47,"Cherry Spp.",-77.0870939413323,38.9534820261746
48,"Yoshino Cherry",-77.0738278799527,38.9547523149674
49,"Kwanzan Cherry",-77.0803708885057,38.9560812233698
50,"Kwanzan Cherry",-77.0957794254801,38.9521690330745
51,"Cherry Spp.",-77.1030565398274,38.926498197334
52,"Yoshino Cherry",-77.0816615550367,38.9547651222127
53,"Okame Cherry",-77.0903402340145,38.9569837802773
54,"Yoshino Cherry",-77.0954887286219,38.9504667063734
55,"Chokecherry",-77.0788185597287,38.950353018577
56,"Yoshino Cherry",-77.0938114768182,38.9470629334077
57,"Okame Cherry",-77.0906844495277,38.9464168046918
58,"Snowgoose Cherry",-77.0746746285312,38.9480766438221
59,"Kwanzan Cherry",-77.0944160379697,38.9419006962602
60,"Snowgoose Cherry",-77.0889972467255,38.9440218965933
61,"Kwanzan Cherry",-77.0857212080672,38.944015336039
62,"Snowgoose Cherry",-77.0974258997854,38.9413397117583
63,"Okame Cherry",-77.0873486904897,38.9448338854755
64,"Yoshino Cherry",-77.0963312063201,38.9421693822113
65,"Yoshino Cherry",-77.0966967222759,38.9395116328556
66,"Snowgoose Cherry",-77.0798505533603,38.9447491657415
67,"Okame Cherry",-77.0769680391436,38.94599424294
68,"Cherry Spp.",-77.1039686295486,38.9351093381255
69,"Kwanzan Cherry",-77.08425517014,38.9431245809347
70,"Okame Cherry",-77.1022136871119,38.933858731895
71,"Cherry Spp.",-77.1000220635673,38.9336984781023
72,"Kwanzan Cherry",-77.1031919750296,38.9324255506987
73,"Yoshino Cherry",-77.1060083692907,38.9339274176163
74,"Yoshino Cherry",-77.1093942097749,38.9306272555435
75,"Kwanzan Cherry",-77.103353574208,38.9325154909972
76,"Chokecherry",-77.1004902065578,38.9303379760169
77,"Snowgoose Cherry",-77.071193607399,38.962474030752
78,"Yoshino Cherry",-77.0849494098873,38.9545916223056
79,"Cherry Spp.",-77.0561013431025,38.9622660481397
80,"Kwanzan Cherry",-77.0693826560847,38.9630516473158
81,"Snowgoose Cherry",-77.0999319847733,38.927032401824
82,"Snowgoose Cherry",-77.0711703509309,38.962293879459
83,"Snowgoose Cherry",-77.0648966911294,38.9657657077213
84,"Kwanzan Cherry",-77.1062206506625,38.92932397692
85,"Cherry Spp.",-77.1005619310882,38.9239510142279
86,"Snowgoose Cherry",-77.0623102364282,38.963758274325
87,"Kwanzan Cherry",-77.0874716233167,38.9416088248874
88,"Kwanzan Cherry",-77.1021652289421,38.9322372776283
89,"Yoshino Cherry",-77.066195859851,38.960684323223
90,"Kwanzan Cherry",-77.1048232858659,38.9280460573797
91,"Chokecherry",-77.0615149587483,38.9647766279391
92,"Chokecherry",-77.0698787275212,38.9629702775563
93,"Yoshino Cherry",-77.1016152116727,38.9266616086464
94,"Kwanzan Cherry",-77.0677980236598,38.9589808435911
95,"Snowgoose Cherry",-77.0739015856896,38.9590762364792
96,"Cherry Spp.",-77.0542808140083,38.950421036102
97,"Okame Cherry",-77.0659530527911,38.9601349570627
98,"Kwanzan Cherry",-77.0601549427963,38.9529404787202
99,"Kwanzan Cherry",-77.0620595971726,38.9541916326378
100,"Yoshino Cherry",-77.0605243941854,38.9532645853923
101,"Kwanzan Cherry",-77.0618511271278,38.9532638911157
102,"Kwanzan Cherry",-77.0620591663974,38.9536961781362
103,"Chokecherry",-77.0656265242446,38.956369686312
104,"Okame Cherry",-77.0895974866347,38.9259868086444
105,"Snowgoose Cherry",-77.0591601199436,38.9497340403937
106,"Cherry Spp.",-77.0641298104424,38.9598567149155
107,"Snowgoose Cherry",-77.0872194057509,38.9334474926077
108,"Kwanzan Cherry",-77.0861514455327,38.9277640380799
109,"Okame Cherry",-77.0864946834828,38.9255026963924
110,"Snowgoose Cherry",-77.0615713957033,38.9499670097697
111,"Yoshino Cherry",-77.0857490807554,38.9288273155282
112,"Okame Cherry",-77.0887030146324,38.9300502424248
113,"Yoshino Cherry",-77.0772544831079,38.9335535955221
114,"Yoshino Cherry",-77.091774526773,38.9329395393283
115,"Okame Cherry",-77.0891823541822,38.9260141507325
116,"Chokecherry",-77.0566098755453,38.9488074500039
117,"Snowgoose Cherry",-77.0607751935203,38.9497332112187
118,"Kwanzan Cherry",-77.0818312517109,38.9116422299051
119,"Kwanzan Cherry",-77.096678364415,38.917468293527
120,"Yoshino Cherry",-77.0806108510099,38.9234259801249
121,"Kwanzan Cherry",-77.0829141038028,38.9108036903381
122,"Yoshino Cherry",-77.0961799556404,38.9155589365957
123,"Yoshino Cherry",-77.0806911065093,38.9230115419492
124,"Kwanzan Cherry",-77.082454010644,38.9117589007527
125,"Yoshino Cherry",-77.0846892009458,38.9103700165631
126,"Yoshino Cherry",-77.08311091054,38.9114881850318
127,"Kwanzan Cherry",-77.0822578640092,38.9116419304308
128,"Yoshino Cherry",-77.0806961669945,38.9071028119453
129,"Chokecherry",-77.0962404413432,38.9176578301448
130,"Chokecherry",-77.0336583189762,38.9110895038776
131,"Cherry Spp.",-77.0021001344136,38.8904832083335
132,"Snowgoose Cherry",-77.0034601000036,38.8867717242358
133,"Chokecherry",-77.0454557406898,38.9869712467257
134,"Cherry Spp.",-77.0118255837836,38.8720874958413
135,"Snowgoose Cherry",-77.0398495900865,38.9930358132522
136,"Cherry Spp.",-77.0309335539403,38.9823367587345
137,"Kwanzan Cherry",-77.0342494946185,38.9896685194867
138,"Okame Cherry",-77.0149148467427,38.8764652255897
139,"Chokecherry",-77.0428260591752,38.990224202485
140,"Snowgoose Cherry",-77.0350339552528,38.9887674662456
141,"Cherry Spp.",-77.032967704396,38.9884798045994
142,"Chokecherry",-77.0434807764167,38.9849451496989
143,"Cherry Spp.",-77.0449162643741,38.9917458041256
144,"Kwanzan Cherry",-77.0348960361232,38.9899746073423
145,"Chokecherry",-77.0455264103155,38.9891872383005
146,"Snowgoose Cherry",-77.0412538284014,38.9860629746266
147,"Snowgoose Cherry",-77.0234169213538,38.9728888752215
148,"Snowgoose Cherry",-77.0304848381048,38.9856158667789
149,"Kwanzan Cherry",-77.0313257635731,38.9818772348465
150,"Snowgoose Cherry",-77.0397768502214,38.9868021597919
151,"Snowgoose Cherry",-77.0380700089237,38.989442133148
152,"Chokecherry",-77.0443002926244,38.9850078998947
153,"Chokecherry",-77.0301727454758,38.9845349626184
154,"Kwanzan Cherry",-77.0350201236797,38.9841102254067
155,"Chokecherry",-77.0381264836503,38.9871270048075
156,"Snowgoose Cherry",-77.0411499234302,38.9860179707528
157,"Snowgoose Cherry",-77.0443824277068,38.9871608310076
158,"Cherry Spp.",-77.0220092907961,38.9736908816289
159,"Yoshino Cherry",-77.0132040349382,38.972899482725
160,"Chokecherry",-77.0314524690561,38.9813096834952
161,"Yoshino Cherry",-77.0342916413462,38.9813088848971
162,"Snowgoose Cherry",-77.0140351748834,38.9742235959422
163,"Kwanzan Cherry",-77.0092912465937,38.9672877248487
164,"Kwanzan Cherry",-77.0213628086466,38.9729072852431
165,"Snowgoose Cherry",-77.0244781294621,38.9715194055962
166,"Okame Cherry",-77.0102721956053,38.9681704508057
167,"Cherry Spp.",-77.0187430727346,38.9723041818925
168,"Chokecherry",-77.011599406987,38.9694044564505
169,"Okame Cherry",-77.0236476280356,38.9726095736729
